ID,Emotion,Score
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0200
1,disgust,0.0000
1,fear,0.0100
1,happy,0.0000
1,sad,0.1000
1,surprise,0.0000
1,neutral,0.8700
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.0900
1,disgust,0.0000
1,fear,0.0700
1,happy,0.0000
1,sad,0.1800
1,surprise,0.0000
1,neutral,0.6600
1,angry,0.1200
1,disgust,0.0000
1,fear,0.0600
1,happy,0.0000
1,sad,0.2200
1,surprise,0.0000
1,neutral,0.6000
1,angry,0.1200
1,disgust,0.0000
1,fear,0.0600
1,happy,0.0000
1,sad,0.2200
1,surprise,0.0000
1,neutral,0.6000
1,angry,0.1200
1,disgust,0.0000
1,fear,0.0600
1,happy,0.0000
1,sad,0.2200
